PartId	Sex	Age	Country	Adieu
1152	M	28	CH	0
1153	M	30	CH	5
1154	M	55	CH	3
1155	M	21	BE	0
1156	F	26	BE	0
1157	F	29	BE	0
1158	M	35	CH	8
1159	M	58	CH	10
1160	F	38	CH	1
1161	M	44	CH	0
1162	F	47	CH	3
1163	M	24	CH	5
1164	F	25	CH	4
1165	F	29	CH	6
1166	M	36	CH	9
1167	M	39	BE	0
1168	M	22	BE	0
1169	M	23	BE	0
1170	F	25	BE	0
1171	M	51	BE	0
1172	M	56	CH	1
1173	M	23	CH	5
1174	M	62	CH	2
1175	F	58	CH	8
1176	F	22	BE	0
1177	F	26	FR	0
1178	F	33	FR	0
1179	M	70	BE	0
1180	M	36	BE	0
1181	M	14	BE	2
1182	F	19	CH	4
1183	M	20	FR	4
1184	M	21	CH	8
1185	M	22	BE	0
1186	M	22	CH	7
1187	M	23	BE	0
1188	F	23	CH	5
1189	F	23	CH	10
1190	F	23	CH	1
1191	M	23	CH	3
1192	F	24	BE	0
1193	M	25	CH	6
1194	M	26	BE	0
1195	F	26	CH	1
1196	M	27	CH	3
1197	M	28	CH	10
1198	F	29	BE	0
1199	M	31	CH	8
1200	M	31	CH	7
1201	F	32	CH	7
1202	M	32	CH	3
1203	M	33	CH	9
1204	M	35	CH	0
1205	F	36	CH	0
1206	F	38	BE	0
1207	F	38	CH	10
1208	M	39	CH	0
1209	F	41	BE	0
1210	F	41	CH	2
1211	F	41	CH	2
1212	F	42	CH	4
1213	F	45	CH	0
1214	F	47	CH	8
1215	F	47	CH	1
1216	M	48	CH	8
1217	F	48	CH	10
1218	F	49	BE	0
1219	M	55	CH	8
1220	M	56	CH	4
1221	F	56	CH	9
1222	F	59	CH	5
1223	M	61	CH	4
1224	F	62	CH	1
1225	M	62	CH	0
1226	F	66	CH	10
1227	F	67	CH	0
1228	M	23	BE	0
1229	M	26	FR	8
1230	F	36	BE	0
1231	M	40	BE	0
1232	M	48	BE	0
1233	F	51	BE	0
1234	F	60	CH	1
1235	F	19	CH	9
1236	M	24	BE	0
1237	M	33	CH	3
1238	M	34	BE	0
1239	F	41	BE	0
1240	M	21	BE	0
1241	M	20	CH	4
1242	M	21	CH	6
1243	M	36	CH	3
1244	F	24	CH	0
1245	M	27	CH	10
1246	F	35	CH	5
